Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0000F0AZI4): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338084/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0006Z17E85): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338087/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0009ZVRLQ9): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338086/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE000Q7VWU01): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338081/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE000754CU10): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338083/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE00000IFTU0): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338082/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares USD Sukuk Index Fund (IE) (IE0005BHXPC6): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/339356/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares USD Sukuk Index Fund (IE) (IE000D1RQOH8): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/339367/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Bitcoin ETP (XS2940466316): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/337088/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares USD Sukuk Index Fund (IE) (IE0005BHXPC6): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/339356/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares USD Sukuk Index Fund (IE) (IE000D1RQOH8): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/339367/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0000F0AZI4): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338084/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0006Z17E85): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338087/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0009ZVRLQ9): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338086/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE000Q7VWU01): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338081/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE000754CU10): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338083/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE00000IFTU0): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338082/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Bitcoin ETP (XS2940466316): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/337088/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0000F0AZI4): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338084/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0006Z17E85): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338087/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0009ZVRLQ9): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338086/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE000Q7VWU01): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338081/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE000754CU10): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338083/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE00000IFTU0): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338082/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Bitcoin ETP (XS2940466316): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/337088/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares USD Sukuk Index Fund (IE) (IE0005BHXPC6): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/339356/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares USD Sukuk Index Fund (IE) (IE000D1RQOH8): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/339367/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0000F0AZI4): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338084/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0006Z17E85): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338087/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE0009ZVRLQ9): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338086/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE000Q7VWU01): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338081/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE000754CU10): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338083/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Global Securitised Index Fund (IE) (IE00000IFTU0): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/338082/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares Bitcoin ETP (XS2940466316): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/337088/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares USD Sukuk Index Fund (IE) (IE0005BHXPC6): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/339356/fund/1506575546154.ajax?tab=all&fileType=json'
Failed to fetch holdings for iShares USD Sukuk Index Fund (IE) (IE000D1RQOH8): 500, message='Internal Server Error', url='https://www.ishares.com/it/investitore-privato/it/prodotti/339367/fund/1506575546154.ajax?tab=all&fileType=json'
